질문,답변
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['카메라', '모듈', '개발', '서버', '클라이언트', '통신', '사진', '비디오', '미디어', '처리', '성능', '경량', '호환성', '앱', 'Java', 'Gradle', 'Data', 'Binding', 'MVVM', 'RxJava', 'Realm', 'Room', 'Offline', 'first', 'App', '지향', '안정', '네트워크', '원활', '동작', '가능', '제작', '기본', 'Android', '프로젝트', '상황', 'iOS', 'Web', 'UI', '참여', '컴퓨터', '전산', '관련', '학과', '졸업', '기반', '지식', '습득', '이상', '실무', '경력', '사이', 'Application', '프로그래밍', '경험', '사람', '창의', '사고', '방식', '기술', '과제', '극복', '능력', '요구', '코드', '배포', '기존', 'Legacy', '기능', '개선', '적용']","{'언어': ['Java'], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['프론트', '엔드', '설계', '개발', '레거시', '개선', '성능', '최적화', 'React', '사용', '경험', 'UX', 'UI', '컴퓨터', '사이언스', '기본', '지식', '유관', '경력', '이상', '팀', '원활', '커뮤니케이션', '가능']","{'언어': [], '프레임워크': ['React'], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['Android', 'Native', 'SDK', '신규', '기능', '개발', '유지', '보수', '기여', 'Next.js', '기반', 'Hybrid', '고객', '제보', '크래시', '오', '동작', '문제', '분석', '해결', '연동', '문서', '작성', '동시', '결성', '검증', '아키텍쳐', '이해', '코드', '자료', '구조', '기초', '알고리즘', '논리', '사고력', '능력']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['모바일', '그래픽', '라이브러리', '이용', '렌더링', '엔진', '구성', '최적화', 'AI', '모델', '적용', '경량', '최적', 'iOS', 'AndroidOS', '미디어', '처리', 'AVFoundation', 'CoreGraphics', 'CoreVideo', 'CoreImage', 'CoreAudio', 'ImageIO', 'FFMPEG', 'Visual', 'Effects', '리서치', '개발', 'macOS', 'Vulkan', 'WebGL', '서버', '사이드', '멀티', '플랫폼', '확장', '컴퓨터', '전산', '관련', '학과', '졸업', '기반', '지식', '습득', '이상', '그래픽스', '영상', '경력', '경험', '이미지', '디스플레이', '오디오', '신호 처리', '워크', '로드', '하드웨어', '속', '렌', '쉐이더', '창의', '사고', '방식', '기술', '과제', '극복', '능력', '성능', '요구', '코드', '제작', '배포', '시각', '결과물', '디테일', '집중', '사람']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['외부', '서비스', '문제', '순위', '업무', '진행', '규모', '정량', '기준', '결정', '엔지니어', '디자이너', 'PM', '유관', '부서', '관계자', '대안', '모색', '사용자', '비즈니스', '동시', '해결', '과정', '협의', '유지', '보수', '비용', '테스트', '기능', '성능', '향상', '설계', '개선', '작업', '문서', '사내', '이해관계자', '의견', '조율', '설명', 'Backend', '개발', '경력', '이상', '경험', '클라우드', '환경', 'Node.js', 'Typescript', 'PostgreSQL', '기반', 'server', '가능', '학습', '코드', '시스템', '품질', '발생', '원인', '파악', '해외', '출장', '결격', '사유', '남성', '경우', '병역', '필', '면제']","{'언어': ['Typescript'], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['L', '클라우드', '프로젝트', '수행', 'CA', '아키텍처', '설계', '구축', '목표', '제언', '제안', '마이그레이션', '방안', '컴퓨터', '공학', 'IT', '인프라', '네트워크', '관련', '전공', '네트워크 설계', '운영', '지식', '기술력', '네트워크 보안', '클라우드 컴퓨팅', '이해', '구성', '기술', '이슈', '해결', '능력', '의사소통']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['팀', '전체', 'Data', 'driven', '의사', '결정', '지원', '정량', '수치', '분석', '결과', '제공', '목표', '달', '성장', '임팩트', '가설', '수립', '검증', '실험', '설계', 'KPI', '관리', '모니터링', '이슈', '발생', 'Deep', 'dive', '원인', '파악', '서비스', '외부', '종합', '조사', '비즈니스', '기회', '발굴', '전략', '기여', '필요', '지표', '개발', '측정', '바탕', '실시간', '대시보드', '리포트', '구성', '다양', '이해관계자', '원활', '협업', '데이터', '기반', 'Content', '구매', '연결', '인사이트', '직급', '과장', '이상', '경력', '사용', '기술', 'AWS', 'GCP', 'BigQuery', 'Looker', 'Studio', 'Google Data Studio', 'Jupyter', 'Notebook', 'Python', 'etc', 'Mysql', 'PostgreDB', 'Database', 'MySQL', 'MongoDB', 'Tool', 'Bitbucket', 'Jira', 'Confluence', 'Google', 'workspace', '장비', 'Macbook', '자격', '요건', '온라인', '관련', '커머스', '데이터 분석', '추출', '정형', '해결', '문제', '역량', '보유', '정확', '유의미', '도출', '수학', '통계', '지식', '이해', '관계자', '커뮤니케이션', '진행', '경험', 'SQL', 'Raw', 'data', '처리', '결과물', 'R', '수준', '스크립트', '언어', '활용', '능력']","{'언어': ['Python'], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['프론트', '엔드', '개발', '팀', '리더', '팀원', '리드', '멘토링', '웹 표준', '웹', '접근성', '성능', '최적', '전략', '수립', '실행', '핌아시아', '프로덕트', '비즈니스', '목적', '고려', '설계', '기술', '리딩', '반응', '모바일', '어플리케이션', '어드민', 'Mobile', 'native', 'app', '영역', 'flutter', 'Web', 'react', 'js', 'next', '직급', '과장', '이상', '경력', '환경', 'Back', 'End', 'Java', 'Kotlin', 'Python', 'Spring', 'Framework', 'JPA', 'JOOQ', 'Front', 'Typescript', 'React', 'Next.js', 'Dart', 'Cloud', 'Infra', 'AWS', 'ECS', 'Database', 'MySQL', 'MongoDB', 'Tool', 'Bitbucket', 'Jira', 'Confluence', 'Google', 'workspace', '장비', 'Macbook', '자격', '요건', 'Application', '경험', '매니징', 'HTML', 'CSS', 'JavaScript', '전문', '지식', 'JS', 'TS', '프레임', '워크', 'Angular', 'Vue', '보유', '앱', '웹뷰', '최적화', '사용자', '친화', '제품', '생산', '향상', '관심', '고민', '코드', '컴포넌트', '사용', '이해', '도', '고객', '완벽', '만족', '여정', '문제점', '해결']","{'언어': ['Python', 'Java', 'JavaScript', 'Typescript'], '프레임워크': ['react', 'Angular', 'Spring', 'React'], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['학교', '종이', '서비스', '백', '엔드', '시스템', '설계', '개발', '유지', '보수', '클라우드', '환경', '용량', '트래픽', '처리', '고가용성', 'HA', '확장', 'Scalability', '데이터', '일관', 'Consistency', '고려', '애플리케이션', 'GCP', 'Docker', 'Kubernetes', '활용', '컨테이너', '기반', '배포', '운영', '안정', '모니터링', '장애', '분석', '문제', '해결', 'Git', 'CI', 'CD', '도구', '협업', '자동', '서버', '경험', 'RESTful', 'API', '구현', 'RDBMS', 'NoSQL', '데이터베이스', '사용', '논리', '자기', '주도', '가능', '동료', '원활', '커뮤니케이션']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': ['Git', 'Docker', 'Kubernetes']}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['Android', 'Native', 'SDK', '신규', '기능', '개발', '유지', '보수', '기여', 'Next.js', '기반', 'Hybrid', '고객', '제보', '크래시', '오', '동작', '문제', '분석', '해결', '연동', '문서', '작성', '동시', '결성', '검증', '이상', '경험', '아키텍쳐', '생태', '이해', '동기', '프로그래밍', 'Coroutine', 'RxJava', '코드', '자료', '구조', '기초', '알고리즘', '논리', '사고력', '능력']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['건설', '서버', '보안', 'NW', '장비', 'Application', '기반', '설비', '운영', '파트너사', '유지', '보수', '관리', 'HW', 'SW', '결함', '사항', '추적', '대응', '장애', '예방', '활동', 'DR', '모', '훈련', '진단', '감사', '결과', '조치', '고객', '문', '요구', '분석', '협의', '선', '제안', '유관', '전공자', 'Windows', '리눅스 서버', 'IT', '시스템', '내부통제', '이해', '로그']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['사용자', '안정', '범용', 'WMS', '제공', '조직', '수익', '창출', '기여', '시스템', '환경', '요구사항', '토대', '기능', '검증', '기준', '정의', '이해관계자', '소통', '사업', '방향', '리소스', '과업', '기간', '산정', '진행', '상태', '관리', '모듈', '통합', '테스트', '수행', '운영', '모니터링', '발생', '가능', '리스크', '파악', '해결', '안', '강구', '실행', '이상', 'Java', '경력', '확장', '백', '엔드', '설계', 'Spring Boot', '사용', 'JPA', 'MySQL', 'QueryDSL', 'DB', '쿼리', '최적화', '이해', '문제', '책임감', '포트폴리오', 'Github', '주소', '제출', '필수']","{'언어': ['Java'], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['놀', '유니버스', '서비스', '전반', '프론트', '엔드', '개발', '상품', '주문', '쿠폰', '포인트', '프로모션', '담당', '사용자', '친화', 'UI', 'UX', '구현', '최적', 'Next', 'js', '기반', '클라이언트', '애플리케이션', '유지', '보수', 'AWS', '이용', '배포', '운영', '팀', '협업', '원활', '환경', '구축', '성능', '향상', '이상', '경험', '리더십', '보유', '웹', '이해', '성공', '프로젝트 관리', '기술', '스택', '주요', '프레임', '워크', '전문', '지식', '조직', '관리', '효과', '목표', '설정', '팀원', '멘토링', '다양', '이해관계자', '소통', '가능']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['운영', '인증', '프로그램', '취득', '갱신', 'MSP', 'SRE', '수행', '장애', '이슈', '개선', '고객사', '니즈', '분석', '대응', '비용', '최적화', '관리', '인프라', '솔루션', '구성', '설정', '변경', '정기', 'PM', '라이선스', '인증서', 'LSP', '포털', '시스템', '관제', '모니터링', '수립', '보고', '매뉴얼', '가이드', '작성', '클라우드', '설계', '구축', '역량', '서버', '어드민', '경험']","{'언어': [], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['소개', '누리미디어', '한국', '대표', '학술', '콘텐츠', '플랫폼', 'DBpia', '한국학', '전문', '데이터베이스', 'KRpia', '연구', '지원', '사업', '아카루트', '운영', '대한민국', '업계', '지식', '기업', '설립', '지속', '우상', '향', '성장', '연속', '흑자', '기록', '서비스', '디비피아', '독점', '원문', '보유', '국내', '연', '방문자', '논문', '메타', '정보', '저자', '이용자', '구독', '기관', '상호', '작용', '빅데이터', '시간', '바탕', '혁신', 'AI', '기술', '도입', '시장', '최초', '생성', '기반', '채팅', '과제', '작성', '주', '추천', 'idea', '서지', '관리', '프로그램', 'Citeasy', '출시', '시작', '머신', '러닝', '분석', '첨단', '활용', '산업', '선도', '발돋움', '이상', '대중', '소비', '세상', '편리', '오늘', '경계', '사회', '이', '영향', '목표', '공감', '모두', '내일', '중심', '적용', 'PoC', '단계', '진행', '상품', '계획', '수립', 'Front', 'end', 'Cross', 'Platform', '백', '엔드', '일관', '사용자', '경험', '제공', '도전', '시스템', '전', '외주', '구축', '지금', '환경', 'IDC', 'AWS', '클라우드', '이관', '적극', '개발', '주도', '변신', '요구', '기존', 'Spring', 'MVC', '올드', '방식', '기', '앤드', '업무', '개선', '관련', '신규', '과정', '백엔드 개발', '시너지', '극대', '다양', '아키텍처', '시도', '발전', '팀', '개발자', '내부', '정도', '형성', '내년', '완결', '인소싱', '커리어', '합류', '최신', '자', '함양', '작업', '전반', '이해', '실무', '능력', '기대', '점', '열정', '협력', '최고', '성과', '인재', '일', '자사', '웹', '앱', '서버', '인프라', '모니터링', '이슈', '추적', '성능', '분', '요원', '병역', '특례', '편입', '전직', '가능', '컴퓨터', '공학', '석사', '졸업', '예정', 'Java', 'Spring Boot', '프레임', '워크', 'RESTful', 'API', '설계', '형상', '도구', 'Git', 'SVN', 'Bitbucket', '사용', 'SQL', '관계', 'DevOps', 'CI', 'CD', 'Pipeline']","{'언어': ['Java'], '프레임워크': ['Spring'], '라이브러리': [], '툴': ['Git']}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['디지털', '광고', '관리', '시스템', '개발', '운영', 'Vue.js', '데이터', '활용', '리포트', '웹', 'SDK', 'React', 'TypeScript', 'PM', '서버', '엔지니어', '디자이너', '협업', '기획', '기능', '구현', '기본기', '버즈', '빌', '성장', '중요', '바탕', '생각', '버즈빌은', '프론트', '엔드', '프레임', '워크', '개발자', '제한', '기본', '컴퓨터', '과학', 'CS', 'Computer', 'Science', '지식', '알고리즘', '프로그래밍', '숙지', '기대', '자신', '코드', '표현', '능력', '구조', '네트워크', '기반', '서비스', '관심', '경험', '인재', '학습', '특정', '자기', '주도', '일', '확인', '프론트엔드 개발자', '사람', '다음', 'HTML', 'CSS', '원리', '최신', '스펙', 'HTML5', '관련', 'Pure', 'JavaScript', '이해', 'ES', 'Vue', 'Angular', '이상']","{'언어': ['JavaScript', 'TypeScript'], '프레임워크': ['Angular', 'Vue.js', 'React'], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['소개', '누리미디어', '한국', '대표', '학술', '콘텐츠', '플랫폼', 'DBpia', '한국학', '전문', '데이터베이스', 'KRpia', '연구', '지원', '사업', '아카루트', '운영', '대한민국', '업계', '지식', '기업', '설립', '지속', '우상', '향', '성장', '연속', '흑자', '기록', '서비스', '디비피아', '독점', '원문', '보유', '국내', '연', '방문자', '논문', '메타', '정보', '저자', '이용자', '구독', '기관', '상호', '작용', '빅데이터', '시간', '바탕', '혁신', 'AI', '기술', '도입', '시장', '최초', '생성', '기반', '채팅', '과제', '작성', '주', '추천', 'idea', '서지', '관리', '프로그램', 'Citeasy', '출시', '시작', '머신', '러닝', '분석', '첨단', '활용', '산업', '선도', '발돋움', '이상', '대중', '소비', '세상', '편리', '오늘', '경계', '사회', '이', '영향', '목표', '공감', '모두', '내일', '중심', '적용', 'RAG', '시스템', '구축', '검색', '구현', '궁극', '자사', '최적', 'LLM', '지향', '팀', '데이터', '접근', '방식', '사용자', '경험', '제공', '도전', '자동', '초기', '단계', '다양', '모델', '실험', '과정', '필요', '기존', '통합', '진행', '최신', '개발', 'NLP', '발전', '구조', '파이프라인', '최적화', '규모', '환경', '실질', '상용', '성능', '개선', '주요', '팀원', '협력', '전반', '커리어', '합류', '실무', 'Transformer', '학습', '배포', '참여', '문제', '해결', '능력', '대량', '아키텍처', '설계', '실행', '시도', '주도', '기대', '점', '관련', '열정', '이해', '인재', '적극', '태도', '책임감', '도움', '일', '기능', 'ML', '평가', '수행', '수집', '전처리', '분', '요원', '병역', '특례', '신규', '편입', '전직', '가능', '컴퓨터', '공학', '데이터 과학', '분야', '석사', '졸업', '예정', '학업', '프로젝트', '언어', '문서', '처리', '프레임', '워크', 'TensorFlow', 'PyTorch', '사용', '기본', '데이터 분석', '시각', '도구', 'Pandas', 'NumPy', 'Matplotlib']","{'언어': [], '프레임워크': [], '라이브러리': ['NumPy', 'Pandas', 'TensorFlow', 'Matplotlib'], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['담당', '업무', 'Platform', 'Domain', 'BFF', '개발', '운영', 'Api', 'server', '신규', '구축', '장애', '대응', '지원', '자격', '이상', 'Backend', '경력', '실력', 'NodeJs', 'Javascript', 'Typescript', '안정', '서비스', '가능', '분', 'MSA', '이해도', 'Admin', 'System', '중요도', '이해', '중계', '웹', '서버', '본인', '철학', '바탕', '설득력', '결과', '우대', '사항', '긍정', '자세', '발전', '의지', '포커', '홀', '덤', '게임', '보드게임', '커머스', '관련', 'UX', '향상', '지속', '개선', 'Jira', 'Conflunce', '이용', '경험', '합류', '여정', '근무', '형태', '다음', '전형', '절차', 'Culture', 'Fit', '전화', '인터뷰', '직무', '적합', '검사', '실무', '면접', '평판', '조회', '처우', '협의', '최종', '합격', '연봉', '개별', '정규직', '시', '월', '종료', '후', '전환', '대상', '급여', '동일', '시간', '선택', '출근', '오전', '전', '확인', '기타', '참석', '소정', '면접비', '지급', '직군', '필요', '변경', '코드', '테스트', '과제', 'NSUSLAB', '회사', '후보자', '상호', '완료', '상태', '의미', '허위', '사실', '발견', '경우', '채용', '취소', '해당', '공고', '상시', '조기', '마감']","{'언어': ['Typescript', 'Javascript'], '프레임워크': [], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['프론트', '엔드', '개발', '웹', 'Vue.js', 'or', 'React', '어플리케이션', 'Native', 'Flutter', '퍼블리싱', '백엔드 개발', '백엔드', '서비스', '전반', 'Java', 'Springboot', '운영', '유지', '필요', '인프라', '구축', 'AWS', '지원자', '경력', '선임', '책임', '급']","{'언어': ['Java'], '프레임워크': ['Vue.js', 'React'], '라이브러리': [], '툴': []}"
"다음 단어들이 포함된 작업에서 어떤 기술 스택이 필요할까요? ['멘티', '웹사이트', '어플리케이션', '기획', '디자인', '개발', '턴키', '진행', '에이전시', '삼성전자', 'KT', 'SK', 'LS산전', '롯데백화점', '한국네트웍스', '대명', '리조트', 'NH투자증권', '웅진', '코웨이', '배스킨라빈스', '창비', '유한킴벌리', '동아제약', 'MG', '새마을금고', 'SM', 'C', '다수', '국내', '기업', '중견', '프로젝트', '수행', '백엔드 개발', 'Backend', '웹', '서비스', '전반', '운영', '유지', '필요', '관리', '시스템', '구축', '기술', '스택', 'Java', 'Springboot', 'python', 'php', 'mysql', 'mariadb', 'AWS', '경험자', '우대', '지원자', '경력', '책임', '수석', '연구원']","{'언어': ['Java', 'python'], '프레임워크': [], '라이브러리': [], '툴': []}"
